figure,problem,metric,method,seeds,n_runs,final_iteration,final_mean,final_std,final_sem,final_mean_minus_sem,final_mean_plus_sem,source_dir,source_files
reaction_diffusion_convergence,Reaction-Diffusion,linf,Vanilla PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,2.8599562870e-02,8.6393323962e-03,2.7319967835e-03,2.5867566086e-02,3.1331559654e-02,RD\Reproducible,losses_rd_pinn_1018.txt losses_rd_pinn_1428.txt losses_rd_pinn_2026.txt losses_rd_pinn_2138.txt losses_rd_pinn_3053.txt losses_rd_pinn_3521.txt losses_rd_pinn_4083.txt losses_rd_pinn_4396.txt losses_rd_pinn_5035.txt losses_rd_pinn_5472.txt
reaction_diffusion_convergence,Reaction-Diffusion,linf,SA-PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,2.1590989840e-02,1.1592532095e-02,3.6658805268e-03,1.7925109313e-02,2.5256870367e-02,RD\Reproducible,losses_rd_sa_1018.txt losses_rd_sa_1428.txt losses_rd_sa_2026.txt losses_rd_sa_2138.txt losses_rd_sa_3053.txt losses_rd_sa_3521.txt losses_rd_sa_4083.txt losses_rd_sa_4396.txt losses_rd_sa_5035.txt losses_rd_sa_5472.txt
reaction_diffusion_convergence,Reaction-Diffusion,linf,RBA-PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,2.0804735500e-02,9.3815289800e-03,2.9666999512e-03,1.7838035549e-02,2.3771435451e-02,RD\Reproducible,losses_rd_rba_1018.txt losses_rd_rba_1428.txt losses_rd_rba_2026.txt losses_rd_rba_2138.txt losses_rd_rba_3053.txt losses_rd_rba_3521.txt losses_rd_rba_4083.txt losses_rd_rba_4396.txt losses_rd_rba_5035.txt losses_rd_rba_5472.txt
reaction_diffusion_convergence,Reaction-Diffusion,linf,C-LoReW-PINN,1018 1428 2026 2138 3053 3521 4083 4396 5035 5472,10,30000,1.0607675620e-02,4.7432575732e-03,1.4999497460e-03,9.1077258740e-03,1.2107625366e-02,RD\Reproducible,losses_rd_clorew_pinn_1018.txt losses_rd_clorew_pinn_1428.txt losses_rd_clorew_pinn_2026.txt losses_rd_clorew_pinn_2138.txt losses_rd_clorew_pinn_3053.txt losses_rd_clorew_pinn_3521.txt losses_rd_clorew_pinn_4083.txt losses_rd_clorew_pinn_4396.txt losses_rd_clorew_pinn_5035.txt losses_rd_clorew_pinn_5472.txt
klein_gordon_convergence,Klein-Gordon,l2,Vanilla PINN,1018 1234 2048 2341 3624 3899 4123 4396 5231 5472,10,40000,9.0092734810e-02,4.5625913610e-02,1.4428180733e-02,7.5664554077e-02,1.0452091554e-01,KG\Reproducible,losses_kg_pinn_1018.txt losses_kg_pinn_1234.txt losses_kg_pinn_2048.txt losses_kg_pinn_2341.txt losses_kg_pinn_3624.txt losses_kg_pinn_3899.txt losses_kg_pinn_4123.txt losses_kg_pinn_4396.txt losses_kg_pinn_5231.txt losses_kg_pinn_5472.txt
klein_gordon_convergence,Klein-Gordon,l2,SA-PINN,1018 1234 2048 2341 3624 3899 4123 4396 5231 5472,10,40000,2.0693062390e-02,7.9560707399e-03,2.5159304763e-03,1.8177131914e-02,2.3208992866e-02,KG\Reproducible,losses_kg_sa_1018.txt losses_kg_sa_1234.txt losses_kg_sa_2048.txt losses_kg_sa_2341.txt losses_kg_sa_3624.txt losses_kg_sa_3899.txt losses_kg_sa_4123.txt losses_kg_sa_4396.txt losses_kg_sa_5231.txt losses_kg_sa_5472.txt
klein_gordon_convergence,Klein-Gordon,l2,RBA-PINN,1018 1234 2048 2341 3624 3899 4123 4396 5231 5472,10,40000,3.9108802210e-02,3.3400586876e-02,1.0562192971e-02,2.8546609239e-02,4.9670995181e-02,KG\Reproducible,losses_kg_rba_1018.txt losses_kg_rba_1234.txt losses_kg_rba_2048.txt losses_kg_rba_2341.txt losses_kg_rba_3624.txt losses_kg_rba_3899.txt losses_kg_rba_4123.txt losses_kg_rba_4396.txt losses_kg_rba_5231.txt losses_kg_rba_5472.txt
klein_gordon_convergence,Klein-Gordon,l2,C-LoReW-PINN,1018 1234 2048 2341 3624 3899 4123 4396 5231 5472,10,40000,5.2887504300e-03,1.7351870696e-03,5.4871433063e-04,4.7400360994e-03,5.8374647606e-03,KG\Reproducible,losses_kg_clorew_pinn_1018.txt losses_kg_clorew_pinn_1234.txt losses_kg_clorew_pinn_2048.txt losses_kg_clorew_pinn_2341.txt losses_kg_clorew_pinn_3624.txt losses_kg_clorew_pinn_3899.txt losses_kg_clorew_pinn_4123.txt losses_kg_clorew_pinn_4396.txt losses_kg_clorew_pinn_5231.txt losses_kg_clorew_pinn_5472.txt
klein_gordon_convergence,Klein-Gordon,linf,Vanilla PINN,1018 1234 2048 2341 3624 3899 4123 4396 5231 5472,10,40000,8.2660227270e-02,4.1826661600e-02,1.3226751758e-02,6.9433475512e-02,9.5886979028e-02,KG\Reproducible,losses_kg_pinn_1018.txt losses_kg_pinn_1234.txt losses_kg_pinn_2048.txt losses_kg_pinn_2341.txt losses_kg_pinn_3624.txt losses_kg_pinn_3899.txt losses_kg_pinn_4123.txt losses_kg_pinn_4396.txt losses_kg_pinn_5231.txt losses_kg_pinn_5472.txt
klein_gordon_convergence,Klein-Gordon,linf,SA-PINN,1018 1234 2048 2341 3624 3899 4123 4396 5231 5472,10,40000,2.4290210810e-02,1.3326881863e-02,4.2143300796e-03,2.0075880730e-02,2.8504540890e-02,KG\Reproducible,losses_kg_sa_1018.txt losses_kg_sa_1234.txt losses_kg_sa_2048.txt losses_kg_sa_2341.txt losses_kg_sa_3624.txt losses_kg_sa_3899.txt losses_kg_sa_4123.txt losses_kg_sa_4396.txt losses_kg_sa_5231.txt losses_kg_sa_5472.txt
